Number,TEXT VALENCE,TEXT AROUSAL,TEXT DOMINANCE,AUDIO VALENCE,AUDIO AROUSAL,AUDIO DOMINANCE,predicted_emotion,label,consistency label,GMM_FINAL_LABEL,,,,,,,
19,0.92,0.22,0.586,-0.106868684,0.633569241,0.663789392,happiness,happiness,1,inconsistent,,,,,,, [652.93240093 303.06759907]]
20,0.816,0.862,0.418,0.412913203,0.405922651,0.482074022,happiness,happiness,1,consistent,,,,,,,
21,0.304,-0.2235,0.18,-0.315857708,-0.455556631,-0.320808649,disgust,sadness,0,consistent,,,,,,,"Conclusion: At the significance level of 0.05, there is a statistically significant relationship between modal inconsistency and LLM1 judgment errors."
22,0.1856,-0.1384,0.0748,-0.443521798,-0.204673886,-0.059886813,surprise,sadness,0,consistent,,,,,,,
23,0.408333333,-0.0495,0.250833333,0.557826757,-0.170466542,0.08647716,surprise,sadness,0,consistent,,,,,,,
24,0.4685,-0.548,-0.1085,-0.020188153,-0.495706677,-0.211807489,surprise,sadness,0,consistent,,,,,,,
25,0.418,0.0735,0.324,-0.891201675,-0.42657578,-0.155677319,sadness,sadness,1,inconsistent,,,,,,,
26,-0.012,-0.14275,-0.0455,-0.48651737,0.493111849,0.471940041,fear,surprise,0,inconsistent,,,,,,,
27,-0.020666667,0.132666667,-0.082,-0.349496305,0.439110398,0.460651875,surprise,surprise,1,consistent,,,,,,,
28,0.132666667,0.092333333,-0.033333333,-0.57818538,0.527667046,0.568360806,anger,surprise,0,inconsistent,,,,,,,
29,-0.132,-0.04475,-0.0745,-0.23843503,0.313157082,0.284141541,surprise,surprise,1,consistent,,,,,,,
30,0.012,0.144333333,0.192,0.162149549,0.217137456,0.248891354,surprise,surprise,1,consistent,,,,,,,
31,0.25,0.026,-0.0112,-0.165696084,0.7755059,0.650207043,surprise,anger,0,inconsistent,,,,,,,
32,0.246,-0.113142857,-0.060714286,-0.371484458,0.35437417,0.336186528,surprise,anger,0,inconsistent,,,,,,,
33,0.17525,0.0445,-0.04125,-0.0658167,0.368636847,0.38852334,surprise,anger,0,consistent,,,,,,,
34,0.4425,0.052,0.3265,-0.270727992,0.55185318,0.514406443,surprise,anger,0,inconsistent,,,,,,,
35,0.325166667,0.1145,-0.037,-0.329877198,0.541742325,0.583322048,surprise,anger,0,inconsistent,,,,,,,
36,-0.1916,0.115,-0.1156,-0.193112791,-0.367546916,-0.238241196,disgust,disgust,1,consistent,,,,,,,
37,0.0696,-0.0712,-0.112,-0.258691967,-0.299164534,-0.211589217,disgust,disgust,1,consistent,,,,,,,
38,-0.624,0.334,-0.608,-0.239478409,-0.110616565,-0.064003706,fear,disgust,0,consistent,,,,,,,
39,-0.301,0.168,-0.191,-0.85692811,0.464674592,0.454723597,anger,disgust,0,inconsistent,,,,,,,
40,-0.385,0.1135,-0.319,-0.486747026,-0.366222918,-0.252002299,sadness,disgust,0,consistent,,,,,,,
41,0.1676,-0.184,0.1636,-0.474732816,-0.250012577,-0.141971529,surprise,fear,0,consistent,,,,,,,
42,0.1995,0.111,0.055,0.169506311,-0.417776585,-0.236156583,surprise,fear,0,consistent,,,,,,,
43,-0.174,0.238,0.134,-0.775991559,0.274793386,0.305259943,anger,fear,0,consistent,,,,,,,
44,-0.265333333,-0.356,-0.325333333,-0.683749676,-0.120424747,-0.036607444,sadness,fear,0,consistent,,,,,,,
45,0.025571429,-0.164571429,-0.043142857,-0.202192605,0.17314446,0.184878469,surprise,fear,0,consistent,,,,,,,
46,0.4765,0.12425,0.3655,0.349369168,0.478275061,0.404529214,happiness,happiness,1,consistent,,,,,,,
47,0.47525,0.2,0.2645,-0.751657724,0.6667068,0.649316788,surprise,happiness,0,inconsistent,,,,,,,
48,0.4195,0.3325,0.167,0.796363831,0.683705449,0.698031664,happiness,happiness,1,consistent,,,,,,,
49,0.92,0.22,0.586,-0.381355822,0.348340273,0.385658622,happiness,happiness,1,inconsistent,,,,,,,
50,0.816,0.862,0.418,0.905469656,0.600033641,0.55681324,happiness,happiness,1,consistent,,,,,,,
51,0.304,-0.2235,0.18,-0.367885888,-0.740546465,-0.495720863,disgust,sadness,0,inconsistent,,,,,,,
52,0.1856,-0.1384,0.0748,-0.490056157,-0.521246433,-0.331052423,disgust,sadness,0,inconsistent,,,,,,,
53,0.408333333,-0.0495,0.250833333,0.099735975,-0.037902236,0.077801466,surprise,sadness,0,consistent,,,,,,,
54,0.4685,-0.548,-0.1085,-0.061701417,-0.498939335,-0.237936378,surprise,sadness,0,consistent,,,,,,,
55,0.418,0.0735,0.324,-0.398835123,-0.804133892,-0.61289984,surprise,sadness,0,inconsistent,,,,,,,
56,-0.012,-0.14275,-0.0455,-0.568200111,0.14470613,0.171016693,fear,surprise,0,consistent,,,,,,,
57,-0.020666667,0.132666667,-0.082,-0.429554999,0.213499069,0.256225586,fear,surprise,0,consistent,,,,,,,
58,0.132666667,0.092333333,-0.033333333,-0.628636956,0.404242516,0.416275978,anger,surprise,0,inconsistent,,,,,,,
59,-0.132,-0.04475,-0.0745,-0.278430164,0.094596028,0.204046011,fear,surprise,0,consistent,,,,,,,
60,0.012,0.144333333,0.192,-0.258570254,0.386149645,0.438532591,surprise,surprise,1,consistent,,,,,,,
61,0.25,0.026,-0.0112,-0.556981444,0.805060625,0.723977804,surprise,anger,0,inconsistent,,,,,,,
62,0.246,-0.113142857,-0.060714286,-0.121015072,0.756981373,0.641537547,surprise,anger,0,inconsistent,,,,,,,
63,0.17525,0.0445,-0.04125,-0.656134129,0.707730174,0.674880028,anger,anger,1,inconsistent,,,,,,,
64,0.4425,0.052,0.3265,-0.306335926,0.562885284,0.533637524,surprise,anger,0,inconsistent,,,,,,,
65,0.325166667,0.1145,-0.037,-0.572822213,0.684905052,0.698374748,surprise,anger,0,inconsistent,,,,,,,
66,-0.1916,0.115,-0.1156,-0.77172327,0.563331962,0.550747156,anger,disgust,0,inconsistent,,,,,,,
67,0.0696,-0.0712,-0.112,0.148240089,0.275348663,0.308311224,surprise,disgust,0,consistent,,,,,,,
68,-0.624,0.334,-0.608,-0.380090296,-0.148247242,-0.161779404,fear,disgust,0,consistent,,,,,,,
69,-0.301,0.168,-0.191,-0.646528006,0.22380054,0.187248588,fear,disgust,0,consistent,,,,,,,
70,-0.385,0.1135,-0.319,-0.325001061,-0.203133702,-0.084374905,sadness,disgust,0,consistent,,,,,,,
71,0.1676,-0.184,0.1636,-0.537891388,0.093033671,0.131278396,surprise,fear,0,consistent,,,,,,,
72,0.1995,0.111,0.055,-0.204217017,-0.067060769,-0.001049817,surprise,fear,0,consistent,,,,,,,
73,-0.174,0.238,0.134,-0.213564336,-0.05585146,-0.037973225,surprise,fear,0,consistent,,,,,,,
74,-0.265333333,-0.356,-0.325333333,-0.381242573,0.606821656,0.551025748,fear,fear,1,inconsistent,,,,,,,
75,0.025571429,-0.164571429,-0.043142857,0.218981028,0.540534973,0.441578865,surprise,fear,0,inconsistent,,,,,,,
76,0.4765,0.12425,0.3655,0.363329887,0.632426262,0.598387003,happiness,happiness,1,consistent,,,,,,,
77,0.47525,0.2,0.2645,-0.522184014,0.498182058,0.41225934,surprise,happiness,0,inconsistent,,,,,,,
78,0.4195,0.3325,0.167,-0.790954649,0.879769802,0.71571815,surprise,happiness,0,inconsistent,,,,,,,
79,0.92,0.22,0.586,-0.473756433,0.37488699,0.477383375,happiness,happiness,1,inconsistent,,,,,,,
80,0.816,0.862,0.418,0.63022542,0.245733142,0.327693701,happiness,happiness,1,consistent,,,,,,,
81,0.304,-0.2235,0.18,-0.416549683,-0.745710254,-0.498073816,disgust,sadness,0,inconsistent,,,,,,,
82,0.1856,-0.1384,0.0748,-0.603365183,-0.235095978,-0.0430758,sadness,sadness,1,consistent,,,,,,,
83,0.408333333,-0.0495,0.250833333,-0.574086785,-0.450636566,-0.224552393,surprise,sadness,0,inconsistent,,,,,,,
84,0.4685,-0.548,-0.1085,-0.383385003,-0.762813032,-0.588165998,surprise,sadness,0,inconsistent,,,,,,,
85,0.418,0.0735,0.324,-0.234043479,-0.451425731,-0.290312886,surprise,sadness,0,inconsistent,,,,,,,
86,-0.012,-0.14275,-0.0455,-0.529242575,0.458327651,0.414548874,fear,surprise,0,inconsistent,,,,,,,
87,-0.020666667,0.132666667,-0.082,-0.258393943,0.204229116,0.165537,surprise,surprise,1,consistent,,,,,,,
88,0.132666667,0.092333333,-0.033333333,-0.749785781,-0.084832072,-0.0258708,fear,surprise,0,inconsistent,,,,,,,
89,-0.132,-0.04475,-0.0745,-0.363722444,-0.06051749,0.032191515,sadness,surprise,0,consistent,,,,,,,
90,0.012,0.144333333,0.192,-0.347918928,0.025392294,0.159228086,surprise,surprise,1,consistent,,,,,,,
91,0.25,0.026,-0.0112,-0.395330846,0.209864974,0.214530468,surprise,anger,0,consistent,,,,,,,
92,0.246,-0.113142857,-0.060714286,-0.592965245,-0.023367047,0.076845169,surprise,anger,0,inconsistent,,,,,,,
93,0.17525,0.0445,-0.04125,-0.142276824,0.117932081,0.26105237,surprise,anger,0,consistent,,,,,,,
94,0.4425,0.052,0.3265,-0.008190989,0.051511049,0.165339828,surprise,anger,0,consistent,,,,,,,
95,0.325166667,0.1145,-0.037,-0.059218764,0.351589441,0.452516913,surprise,anger,0,consistent,,,,,,,
96,-0.1916,0.115,-0.1156,-0.166295886,-0.396481991,-0.260596752,disgust,disgust,1,consistent,,,,,,,
97,0.0696,-0.0712,-0.112,0.138472319,-0.234271049,-0.127514124,surprise,disgust,0,consistent,,,,,,,
98,-0.624,0.334,-0.608,-0.075549245,-0.387547135,-0.207576513,sadness,disgust,0,inconsistent,,,,,,,
99,-0.301,0.168,-0.191,0.063374043,-0.262022853,-0.155437887,disgust,disgust,1,consistent,,,,,,,
100,-0.385,0.1135,-0.319,-0.627215862,-0.10537672,0.083730698,fear,disgust,0,consistent,,,,,,,
101,0.1676,-0.184,0.1636,-0.582441926,-0.507584751,-0.366789222,sadness,fear,0,inconsistent,,,,,,,
102,0.1995,0.111,0.055,-0.571207285,-0.585351884,-0.416938424,disgust,fear,0,inconsistent,,,,,,,
103,-0.174,0.238,0.134,-0.693370104,-0.219583333,-0.156736374,fear,fear,1,consistent,,,,,,,
104,-0.265333333,-0.356,-0.325333333,-0.501902699,-0.364478111,-0.273574352,sadness,fear,0,consistent,,,,,,,
105,0.025571429,-0.164571429,-0.043142857,-0.340486169,-0.181222916,-0.031988561,disgust,fear,0,consistent,,,,,,,
106,0.4765,0.12425,0.3655,0.77712059,0.311782598,0.36467135,happiness,happiness,1,consistent,,,,,,,
107,0.47525,0.2,0.2645,0.06262517,0.072998762,0.099273682,surprise,happiness,0,consistent,,,,,,,
108,0.4195,0.3325,0.167,0.097672462,0.220230818,0.201539278,happiness,happiness,1,consistent,,,,,,,
109,0.92,0.22,0.586,-0.284285307,0.007896781,0.093417525,surprise,happiness,0,inconsistent,,,,,,,
110,0.816,0.862,0.418,0.465379238,0.213681817,0.227252126,happiness,happiness,1,consistent,,,,,,,
111,0.304,-0.2235,0.18,-0.535607696,-1,-0.750055194,disgust,sadness,0,inconsistent,,,,,,,
112,0.1856,-0.1384,0.0748,-0.663120091,-0.739291072,-0.55233258,sadness,sadness,1,inconsistent,,,,,,,
113,0.408333333,-0.0495,0.250833333,-0.042585313,-0.737171173,-0.460950732,surprise,sadness,0,inconsistent,,,,,,,
114,0.4685,-0.548,-0.1085,-0.268937528,-0.73939544,-0.594967604,surprise,sadness,0,inconsistent,,,,,,,
115,0.418,0.0735,0.324,-0.322925866,-0.51801616,-0.273592949,surprise,sadness,0,inconsistent,,,,,,,
116,-0.012,-0.14275,-0.0455,-0.553563833,-0.091602027,0.02077651,sadness,surprise,0,consistent,,,,,,,
117,-0.020666667,0.132666667,-0.082,-0.216852069,0.054010034,0.048015118,disgust,surprise,0,consistent,,,,,,,
118,0.132666667,0.092333333,-0.033333333,-0.599451542,-0.143478811,-0.028004885,sadness,surprise,0,consistent,,,,,,,
119,-0.132,-0.04475,-0.0745,0.060320854,-0.155779004,-0.044273138,disgust,surprise,0,consistent,,,,,,,
120,0.012,0.144333333,0.192,-0.432950199,-0.291558444,-0.170385361,sadness,surprise,0,consistent,,,,,,,
121,0.25,0.026,-0.0112,-0.412173212,0.473461866,0.425100923,surprise,anger,0,inconsistent,,,,,,,
122,0.246,-0.113142857,-0.060714286,-0.425919712,0.243847013,0.303794384,surprise,anger,0,consistent,,,,,,,
123,0.17525,0.0445,-0.04125,-0.347730339,0.301210046,0.360569954,surprise,anger,0,consistent,,,,,,,
124,0.4425,0.052,0.3265,0.010223866,0.591362238,0.554399967,happiness,anger,0,consistent,,,,,,,
125,0.325166667,0.1145,-0.037,-0.294515967,0.227723122,0.27042079,surprise,anger,0,consistent,,,,,,,
126,-0.1916,0.115,-0.1156,-0.177356064,0.182522535,0.211752176,surprise,disgust,0,consistent,,,,,,,
127,0.0696,-0.0712,-0.112,0.271832585,0.250947952,0.204108477,surprise,disgust,0,consistent,,,,,,,
128,-0.624,0.334,-0.608,0.050277352,0.491528749,0.388859749,anger,disgust,0,inconsistent,,,,,,,
129,-0.301,0.168,-0.191,-0.581671536,-0.028205693,-0.021396101,fear,disgust,0,consistent,,,,,,,
130,-0.385,0.1135,-0.319,0.70353651,0.704947948,0.695263982,surprise,disgust,0,inconsistent,,,,,,,
131,0.1676,-0.184,0.1636,0.378791809,0.023039818,0.0636971,surprise,fear,0,consistent,,,,,,,
132,0.1995,0.111,0.055,-0.1984815,0.108710647,0.128132343,surprise,fear,0,consistent,,,,,,,
133,-0.174,0.238,0.134,-0.609363794,-0.010947108,-0.086380839,fear,fear,1,consistent,,,,,,,
134,-0.265333333,-0.356,-0.325333333,-0.455587327,-0.096514881,-0.055280328,sadness,fear,0,consistent,,,,,,,
135,0.025571429,-0.164571429,-0.043142857,-0.214881718,0.156857014,0.202605009,surprise,fear,0,consistent,,,,,,,
136,0.4765,0.12425,0.3655,0.338341475,0.185556531,0.220409155,surprise,happiness,0,consistent,,,,,,,
137,0.47525,0.2,0.2645,0.198665142,0.189715981,0.093463898,surprise,happiness,0,consistent,,,,,,,
138,0.4195,0.3325,0.167,-0.185716212,0.326205254,0.368629813,surprise,happiness,0,consistent,,,,,,,
139,0.92,0.22,0.586,0.158752084,0.410407305,0.44677496,happiness,happiness,1,consistent,,,,,,,
140,0.816,0.862,0.418,0.872612238,0.197606683,0.308139801,happiness,happiness,1,consistent,,,,,,,
141,0.304,-0.2235,0.18,0.21811223,-0.537597656,-0.304200113,surprise,sadness,0,consistent,,,,,,,
142,0.1856,-0.1384,0.0748,-0.44570291,-0.404855251,-0.312085032,disgust,sadness,0,consistent,,,,,,,
143,0.408333333,-0.0495,0.250833333,-0.581557155,-0.347025752,-0.189205527,surprise,sadness,0,inconsistent,,,,,,,
144,0.4685,-0.548,-0.1085,-0.282548368,-0.382583618,-0.17172581,surprise,sadness,0,consistent,,,,,,,
145,0.418,0.0735,0.324,-0.095163047,-0.549896836,-0.303857565,surprise,sadness,0,inconsistent,,,,,,,
146,-0.012,-0.14275,-0.0455,-0.255799949,-0.172573507,-0.101021588,disgust,surprise,0,consistent,,,,,,,
147,-0.020666667,0.132666667,-0.082,-0.055368721,-0.372056603,-0.303691745,disgust,surprise,0,consistent,,,,,,,
148,0.132666667,0.092333333,-0.033333333,-0.09422183,-0.126047194,-0.107857585,surprise,surprise,1,consistent,,,,,,,
149,-0.132,-0.04475,-0.0745,-0.127435148,-0.330174923,-0.17612803,disgust,surprise,0,consistent,,,,,,,
150,0.012,0.144333333,0.192,-0.083297193,0.241478205,0.216625929,surprise,surprise,1,consistent,,,,,,,
151,0.25,0.026,-0.0112,-0.68289119,0.70705533,0.72412014,anger,anger,1,inconsistent,,,,,,,
152,0.246,-0.113142857,-0.060714286,-0.173811376,0.54056406,0.568239093,surprise,anger,0,inconsistent,,,,,,,
153,0.17525,0.0445,-0.04125,-0.324142277,0.503443956,0.512350917,surprise,anger,0,inconsistent,,,,,,,
154,0.4425,0.052,0.3265,-0.357967794,0.683416843,0.601364613,surprise,anger,0,inconsistent,,,,,,,
155,0.325166667,0.1145,-0.037,-0.241077244,0.543839455,0.623632073,surprise,anger,0,inconsistent,,,,,,,
156,-0.1916,0.115,-0.1156,-0.344884396,-0.40851444,-0.262071609,sadness,disgust,0,consistent,,,,,,,
157,0.0696,-0.0712,-0.112,-0.216457307,-0.435121059,-0.326547384,disgust,disgust,1,consistent,,,,,,,
158,-0.624,0.334,-0.608,-0.522883058,-0.081670642,-0.023670971,fear,disgust,0,consistent,,,,,,,
159,-0.301,0.168,-0.191,-0.768418074,-0.098445594,0.05582428,fear,disgust,0,consistent,,,,,,,
160,-0.385,0.1135,-0.319,0.085544109,-0.135938644,-0.118216395,disgust,disgust,1,consistent,,,,,,,
161,0.1676,-0.184,0.1636,-0.491630971,-0.057548881,-0.025785565,surprise,fear,0,consistent,,,,,,,
162,0.1995,0.111,0.055,-0.259985864,-0.533516645,-0.409564734,disgust,fear,0,inconsistent,,,,,,,
163,-0.174,0.238,0.134,-0.590402007,0.07247448,0.001385808,fear,fear,1,consistent,,,,,,,
164,-0.265333333,-0.356,-0.325333333,-0.655481339,0.433774352,0.308504581,fear,fear,1,inconsistent,,,,,,,
165,0.025571429,-0.164571429,-0.043142857,0.01728785,0.211819768,0.232688189,surprise,fear,0,consistent,,,,,,,
166,0.4765,0.12425,0.3655,0.86460495,0.647682428,0.625075221,happiness,happiness,1,consistent,,,,,,,
167,0.47525,0.2,0.2645,-0.261470497,0.640260816,0.637782454,surprise,happiness,0,inconsistent,,,,,,,
168,0.4195,0.3325,0.167,0.457105875,0.506253481,0.555880785,happiness,happiness,1,consistent,,,,,,,
169,0.92,0.22,0.586,-0.675077796,0.223781943,0.333498597,surprise,happiness,0,inconsistent,,,,,,,
170,0.816,0.862,0.418,-0.225372016,0.225886106,0.256753922,happiness,happiness,1,inconsistent,,,,,,,
171,0.304,-0.2235,0.18,0.051204562,-0.408301353,-0.226819038,surprise,sadness,0,consistent,,,,,,,
172,0.1856,-0.1384,0.0748,-0.589338541,-0.894744158,-0.683777094,sadness,sadness,1,inconsistent,,,,,,,
173,0.408333333,-0.0495,0.250833333,0.218519568,-0.269448578,-0.185581565,surprise,sadness,0,consistent,,,,,,,
174,0.4685,-0.548,-0.1085,0.453286648,-0.326700449,-0.195009708,surprise,sadness,0,consistent,,,,,,,
175,0.418,0.0735,0.324,0.073325634,-0.149746239,-0.005841017,surprise,sadness,0,consistent,,,,,,,
176,-0.012,-0.14275,-0.0455,-0.195682347,-0.247804582,-0.226387739,disgust,surprise,0,consistent,,,,,,,
177,-0.020666667,0.132666667,-0.082,-0.475815833,-0.325843751,-0.246156454,sadness,surprise,0,consistent,,,,,,,
178,0.132666667,0.092333333,-0.033333333,-0.377123296,-0.518121123,-0.38876009,disgust,surprise,0,inconsistent,,,,,,,
179,-0.132,-0.04475,-0.0745,-0.251628518,-0.210187733,-0.078354299,disgust,surprise,0,consistent,,,,,,,
180,0.012,0.144333333,0.192,-0.31114918,-0.375259876,-0.241678417,disgust,surprise,0,consistent,,,,,,,
181,0.25,0.026,-0.0112,-0.355934978,0.783690453,0.720528364,surprise,anger,0,inconsistent,,,,,,,
182,0.246,-0.113142857,-0.060714286,-0.534995914,0.535757065,0.559073806,surprise,anger,0,inconsistent,,,,,,,
183,0.17525,0.0445,-0.04125,-0.624525964,0.762595654,0.80270052,anger,anger,1,inconsistent,,,,,,,
184,0.4425,0.052,0.3265,-0.561522484,0.70658648,0.668329597,surprise,anger,0,inconsistent,,,,,,,
185,0.325166667,0.1145,-0.037,-0.503910184,0.638344884,0.624247551,surprise,anger,0,inconsistent,,,,,,,
186,-0.1916,0.115,-0.1156,-0.685539842,0.600159526,0.641020179,anger,disgust,0,inconsistent,,,,,,,
187,0.0696,-0.0712,-0.112,-0.623020411,0.475947142,0.394350171,anger,disgust,0,inconsistent,,,,,,,
188,-0.624,0.334,-0.608,0.406026363,0.622301817,0.484875441,disgust,disgust,1,inconsistent,,,,,,,
189,-0.301,0.168,-0.191,-1,0.564028263,0.641384125,anger,disgust,0,inconsistent,,,,,,,
190,-0.385,0.1135,-0.319,0.092141509,0.071602225,0.185356855,disgust,disgust,1,consistent,,,,,,,
191,0.1676,-0.184,0.1636,-0.146831572,0.466542721,0.374322414,surprise,fear,0,consistent,,,,,,,
192,0.1995,0.111,0.055,-0.292884529,0.301044464,0.289809465,surprise,fear,0,consistent,,,,,,,
193,-0.174,0.238,0.134,-0.679048657,0.161084652,0.046141148,fear,fear,1,consistent,,,,,,,
194,-0.265333333,-0.356,-0.325333333,-0.754036427,0.843407869,0.767842531,anger,fear,0,inconsistent,,,,,,,
195,0.025571429,-0.164571429,-0.043142857,-0.057818115,0.672486901,0.585837603,surprise,fear,0,inconsistent,,,,,,,
196,0.4765,0.12425,0.3655,0.998479486,0.586122155,0.635937691,happiness,happiness,1,consistent,,,,,,,
197,0.47525,0.2,0.2645,0.311418056,0.650874138,0.583735704,happiness,happiness,1,consistent,,,,,,,
198,0.4195,0.3325,0.167,0.755901814,0.776962161,0.753376484,happiness,happiness,1,consistent,,,,,,,
199,0.92,0.22,0.586,0.45157969,0.480772495,0.544086218,happiness,happiness,1,consistent,,,,,,,
200,0.816,0.862,0.418,0.835158587,0.527815104,0.478074074,happiness,happiness,1,consistent,,,,,,,
201,0.304,-0.2235,0.18,-0.260562479,-0.378712535,-0.257865548,surprise,sadness,0,consistent,,,,,,,
202,0.1856,-0.1384,0.0748,-0.669033051,0.228823185,0.15639019,fear,sadness,0,inconsistent,,,,,,,
203,0.408333333,-0.0495,0.250833333,0.342699289,0.264413834,0.384463072,surprise,sadness,0,consistent,,,,,,,
204,0.4685,-0.548,-0.1085,0.204106688,0.242599249,0.345754623,surprise,sadness,0,inconsistent,,,,,,,
205,0.418,0.0735,0.324,0.275602102,0.349179745,0.343922257,happiness,sadness,0,consistent,,,,,,,
206,-0.012,-0.14275,-0.0455,-0.440880358,0.633882999,0.639834166,anger,surprise,0,inconsistent,,,,,,,
207,-0.020666667,0.132666667,-0.082,-0.307147563,0.689545035,0.659149528,surprise,surprise,1,inconsistent,,,,,,,
208,0.132666667,0.092333333,-0.033333333,-0.258297265,0.822906733,0.778112411,surprise,surprise,1,inconsistent,,,,,,,
209,-0.132,-0.04475,-0.0745,-0.65547657,0.627370358,0.677311897,anger,surprise,0,inconsistent,,,,,,,
210,0.012,0.144333333,0.192,-0.06250006,0.544698477,0.468619585,surprise,surprise,1,consistent,,,,,,,
211,0.25,0.026,-0.0112,-0.585596323,0.643832445,0.526817799,surprise,anger,0,inconsistent,,,,,,,
212,0.246,-0.113142857,-0.060714286,-0.163066864,0.178851366,0.302920341,surprise,anger,0,consistent,,,,,,,
213,0.17525,0.0445,-0.04125,-0.436549902,0.173917294,0.298166513,surprise,anger,0,consistent,,,,,,,
214,0.4425,0.052,0.3265,-0.353600085,0.446387529,0.501415253,surprise,anger,0,inconsistent,,,,,,,
215,0.325166667,0.1145,-0.037,-0.093900979,0.261271119,0.361971974,surprise,anger,0,consistent,,,,,,,
216,-0.1916,0.115,-0.1156,-0.657367229,0.505581617,0.548186898,anger,disgust,0,inconsistent,,,,,,,
217,0.0696,-0.0712,-0.112,0.048772097,0.0687356,0.139473677,surprise,disgust,0,consistent,,,,,,,
218,-0.624,0.334,-0.608,-0.577617288,0.226906776,0.198720932,anger,disgust,0,consistent,,,,,,,
219,-0.301,0.168,-0.191,-0.030715048,0.108158112,0.136231184,disgust,disgust,1,consistent,,,,,,,
220,-0.385,0.1135,-0.319,-0.100459516,0.260073066,0.321591377,fear,disgust,0,consistent,,,,,,,
221,0.1676,-0.184,0.1636,-0.140578628,-0.21825701,-0.111774862,surprise,fear,0,consistent,,,,,,,
222,0.1995,0.111,0.055,-0.223696589,-0.175412416,-0.055585563,disgust,fear,0,consistent,,,,,,,
223,-0.174,0.238,0.134,-0.105433404,-0.217630625,-0.136844754,disgust,fear,0,consistent,,,,,,,
224,-0.265333333,-0.356,-0.325333333,-0.656249166,0.279060841,0.331100345,sadness,fear,0,inconsistent,,,,,,,
225,0.025571429,-0.164571429,-0.043142857,-0.620554328,0.005870581,0.149750471,sadness,fear,0,consistent,,,,,,,
226,0.4765,0.12425,0.3655,0.386931181,0.237859249,0.323465824,surprise,happiness,0,consistent,,,,,,,
227,0.47525,0.2,0.2645,0.832368016,0.544988632,0.665674686,happiness,happiness,1,consistent,,,,,,,
228,0.4195,0.3325,0.167,0.552078605,0.349617958,0.39969182,happiness,happiness,1,consistent,,,,,,,
229,0.92,0.22,0.586,-0.806122303,0.235722542,0.341817141,surprise,happiness,0,inconsistent,,,,,,,
230,0.816,0.862,0.418,0.597303391,0.29365766,0.329154968,happiness,happiness,1,consistent,,,,,,,
231,0.304,-0.2235,0.18,-0.058188796,-0.410165429,-0.221698523,surprise,sadness,0,consistent,,,,,,,
232,0.1856,-0.1384,0.0748,-0.49205178,-0.110579729,-0.000358522,surprise,sadness,0,consistent,,,,,,,
233,0.408333333,-0.0495,0.250833333,0.005485773,-0.229419947,-0.073479474,surprise,sadness,0,consistent,,,,,,,
234,0.4685,-0.548,-0.1085,0.290548325,0.059468031,0.179569483,surprise,sadness,0,consistent,,,,,,,
235,0.418,0.0735,0.324,-0.240594447,-0.370264769,-0.155608058,surprise,sadness,0,inconsistent,,,,,,,
